total_trades,trade_count_long,trade_count_short,profit_total,profit_total_abs,cagr,sharpe,sortino,calmar,sqn,profit_factor,expectancy,expectancy_ratio,winrate,wins,losses,draws,max_drawdown_account,max_drawdown_abs,market_change,starting_balance,final_balance,trades_per_day,strategy_id,source
1957,1957,0,-0.10755802995,-107.55802995,-0.0298623621036,-0.450064556409,-0.447439591422,-0.431797155316,-0.7294,0.946763916939,-0.0549606693664,-0.0211910621894,0.601941747573,1178,779,0,0.347367295375,438.41407939,,1000,892.44197005,1.42846715328,BigWill,baseline
510,510,0,1.10284491328,1102.84491328,0.218999113806,1.93161656386,0.416042505854,19.5772988217,6.1275,4.21885447389,2.16244100643,0.100983669769,0.96862745098,494,16,0,0.0785574793034,154.23758567,,1000,2102.84491328,0.372262773723,BigZ03,baseline
8080,8080,0,-0.72567969247,-725.67969247,-0.291501721585,-2.44254502136,-1.4054579404,-1.26414499091,-1.9484,0.909684560196,-0.0898118431275,-0.0187002142068,0.792945544554,6407,1673,0,0.800523244378,1091.18238103,,1000,274.32030753,5.89781021898,BigZ03HO,baseline
765,765,0,-0.45128377984,-451.28377984,-0.147771281102,-1.97371786036,-1.8950183444,-1.24368120998,-5.1138,0.577417661774,-0.589913437699,-0.166823354437,0.60522875817,463,302,0,0.506018641627,535.23622488,,1000,548.71622016,0.558394160584,BigZ04_TSL3,baseline
831,831,0,-0.45214633041,-452.14633041,-0.14812840243,-1.98808511649,-1.88902776613,-1.23977593137,-4.9425,0.600797577606,-0.544099073899,-0.152763381855,0.617328519856,513,318,0,0.508582807307,539.52641079,,1000,547.85366959,0.606569343066,BigZ04_TSL4,baseline
860,860,0,0.66097048319,660.97048319,0.144747124331,1.74536097436,0.825769080097,7.53305500965,4.2654,1.75995126193,0.768570329291,0.0786461189673,0.896511627907,771,89,0,0.122359245952,209.04377622,,1000,1660.97048319,0.627737226277,BigZ07Next,baseline
850,850,0,0.72613299192,726.13299192,0.156543890066,1.82392191963,0.91020503735,8.08761278509,4.4835,1.76188011905,0.854274108141,0.0851513074228,0.888235294118,755,95,0,0.125205003401,219.03354258,,1000,1726.13299192,0.620437956204,BigZ07Next2,baseline
1286,1286,0,2.09112454685,2091.12454685,0.350760911947,3.97309421289,3.24485562925,31.4103718257,7.9417,1.87263858566,1.62606885447,0.210356113184,0.758942457232,976,310,0,0.0928394775171,277.83251816,,1000,3091.12454685,0.938686131387,BinClucMad,baseline
640,640,0,1.80824280539,1808.24280539,0.316659467971,4.4387179352,2.8272001624,63.8716596902,12.5719,5.79285869178,2.82537938342,0.576640811355,0.8796875,563,77,0,0.0394797514215,55.88879849,,1000,2808.24280539,0.467153284672,BinClucMadDevelop,baseline
428,428,0,1.17725184405,1177.25184405,0.230344583541,2.16968707358,0.932173189868,19.6235629746,7.5118,3.94759359553,2.75058842068,0.254815334193,0.913551401869,391,37,0,0.0836599076984,143.1856977,,1000,2177.25184405,0.312408759124,BinClucMadSMACore,baseline
673,673,0,1.37318963708,1373.18963708,0.258917671405,2.67498854538,1.38177544761,22.8898426662,7.3887,2.98145330073,2.04040064945,0.264978896085,0.866270430906,583,90,0,0.0836591744876,157.53769477,,1000,2373.18963708,0.491240875912,BinClucMadSMADevelop,baseline
685,685,0,1.32752869006,1327.52869006,0.252418312903,4.16144112913,3.87216862609,84.1782207171,11.3935,3.14695996147,1.93799808768,0.297753571299,0.861313868613,590,95,0,0.021992268999,50.30334081,,1000,2327.52869006,0.5,BinClucMadV1,baseline
56,56,0,0.15936534188,159.36534188,0.0401830953914,0.605945464757,0.917382429367,31.4897280112,5.7544,7.32863452776,2.84580967643,1.01710197768,0.839285714286,47,9,0,0.00705749914712,7.71140725,,1000,1159.36534188,0.0408759124088,BinHModWhiteHOV0,baseline
