strategy_id,regimes_covered,worst_regime,worst_regime_return,median_regime_excess_return,regime_consistency
AverageStrategy,4,BEAR,-0.000780614343854,0.000112938244454,0.5
NFINextMOHO2,4,BEAR,-0.000794146222198,-0.0002851578764,0.25
ClucHAnix_5m_old,4,TRANSITION,-0.00080837418863,0.00110528520104,0.5
ClucHAnix_5m,4,TRANSITION,-0.00080837418863,0.00110528520104,0.5
FastSupertrend_optim3_rsi_75,4,BEAR,-0.000815306822649,0.00170634868365,0.5
FastSupertrend_optim3_rsi_75fix,4,BEAR,-0.000815306822649,0.00170634868365,0.5
MACDStrategyETC,4,TRANSITION,-0.000818671018084,-0.00069745317898,0
TrixV15Strategy,4,SIDEWAYS,-0.000886292285162,0.00181825811348,0.75
NFI7MOHO,4,SIDEWAYS,-0.000896017557793,-0.000612462646389,0.25
CombinedBinHAndClucV5,4,TRANSITION,-0.000897983640765,0.00119404719451,0.75
MACDCross,4,TRANSITION,-0.000899238312558,-0.00071167971047,0
Squeeze002,4,SIDEWAYS,-0.000902803946483,-0.000695253570349,0
ElliotV4,4,BEAR,-0.000918333973232,0.00275548193175,0.75
EMA50,4,TRANSITION,-0.000939347448603,-0.000623770155264,0
Martin,4,SIDEWAYS,-0.000940152652287,-0.000839186815534,0
SampleStrategy,4,SIDEWAYS,-0.000940152652287,-0.000839186815534,0
Sar,4,SIDEWAYS,-0.000940152652287,-0.000839186815534,0
stoploss,4,SIDEWAYS,-0.000940152652287,-0.000839186815534,0
TD,4,BEAR,-0.000953790118227,-0.000807304343127,0.25
TenderEnter,4,TRANSITION,-0.000964300299586,0.000619441040319,0.5
PRICEFOLLOWINGX,4,SIDEWAYS,-0.000974250540451,0.0021958444397,0.75
Diamond,4,TRANSITION,-0.00097646194573,-0.000672787117817,0
BinClucMad,4,BEAR,-0.000979216442824,-0.00045698711146,0.25
SqueezeOff,4,SIDEWAYS,-0.000981700928236,-0.000412796312519,0.25
Obelisk_TradePro_Ichi_v2_2,4,BEAR,-0.000983869871885,-0.000742456653877,0
OmaGann,4,TRANSITION,-0.000998520625986,-0.00058010833974,0.25
Seb,4,SIDEWAYS,-0.000999043452338,-0.000582644053991,0
Strategy001,4,SIDEWAYS,-0.000999043452338,-0.000582644053991,0
MacheteV8b,4,BEAR,-0.00100916221847,-0.000683829769199,0.25
BigZ07Next,4,TRANSITION,-0.00101278364794,-0.000663663029899,0.25
MACDStrategy,4,SIDEWAYS,-0.00102613944545,-0.000963756982573,0
NDrop,4,TRANSITION,-0.00103048155068,-0.000458661501755,0.25
BigDrop,4,TRANSITION,-0.00105060433259,-0.000583432322303,0.25
MACDStrategyADA,4,BULL,-0.00107195888387,-0.00102194533772,0
Patterns2,4,SIDEWAYS,-0.00108545639663,-0.000752494599122,0
BBRSIv2,4,BULL,-0.00111628723932,-9.3606540943e-06,0.5
EMA520015_V17,4,BEAR,-0.00112933083518,-0.000484065501246,0.25
BBRSIOptimStrategy,4,SIDEWAYS,-0.00114069048013,-0.000897999127608,0
NSeq,4,SIDEWAYS,-0.00116793083578,-0.000285875780389,0.25
MACD003,4,TRANSITION,-0.00118080142638,-0.000993986378425,0
BigZ03HO,4,TRANSITION,-0.00120800458658,-0.000603930227198,0
NotAnotherSMAOffsetStrategyHO,4,BEAR,-0.00120883078886,0.00645067350919,0.75
MacheteV8bRallimod,4,BULL,-0.00121501344095,-0.000479484882384,0
MACDStrategySOL,4,BULL,-0.00121786961357,-0.000991442217176,0
MACDStrategyENJ,4,SIDEWAYS,-0.00124279280694,-0.00073790979398,0
AdxSmas,4,TRANSITION,-0.00131850714683,-0.000352285351134,0.5
redditMA,4,TRANSITION,-0.00133595161705,0.00117818410448,0.75
MACDStrategyXRP,4,SIDEWAYS,-0.00135222921624,-0.00114047657037,0
Lateralus,4,SIDEWAYS,-0.0013691399298,-0.000353242315218,0.25
BBRSIoriginal,4,SIDEWAYS,-0.00137535416713,0.00165444938507,0.75
TouchEmaStrategy,4,TRANSITION,-0.0013788802674,-0.000711622011525,0
