strategy_id,trades,dollar_gain_usd,benchmark_matched_trades,benchmark_dollar_gain_usd,excess_dollar_gain_usd,source
Slowbro,56,4252.52194254,56,3879.08890518,373.43303736,baseline
mabStra,2318,4231.26076305,2318,24331.0366069,-20099.7758439,baseline
MabStra,2318,4231.26076305,2318,24331.0366069,-20099.7758439,baseline
BigZ07Next,860,4180.64183102,860,1344.54387561,2836.09795541,baseline
Chispei,2350,4060.7788815,2350,-12130.8451055,16191.623987,baseline
ClucHAnix_hhll_TB,1381,4054.1860937,1381,-765.206426448,4819.39252014,baseline
ClucHAnix_hhll,1381,4054.1860937,1381,-765.206426448,4819.39252014,baseline
Low_BB,557,4032.67227591,557,7314.87814495,-3282.20586904,baseline
RegimeFilterStrategy,1675,3939.33591681,1675,11486.7513698,-7547.41545302,baseline
NASOSv5PD,205,3875.47509872,205,770.112889864,3105.36220885,baseline
NotAnotherSMAOffsetStrategyLite,832,3869.6120883,832,3082.11985882,787.492229477,baseline
EmaCrossStrategy,1112,3866.80713126,1112,5018.96595674,-1152.15882548,baseline
ClucHAnix_5M_E0V1E,3167,3746.47178579,3167,-2845.3416904,6591.81347619,baseline
ClucHAnix_5M_E0V1E_DYNAMIC_TB,3167,3746.47178579,3167,-2845.3416904,6591.81347619,baseline
adx_opt_strat,1031,3733.33589601,1031,2628.00856544,1105.32733057,baseline
PatternRecognition,363,3723.74533579,363,-5684.25368379,9407.99901959,baseline
AlligatorStrat,2727,3704.49259423,2727,-11244.9759948,14949.468589,baseline
RalliV1,367,3669.53981745,367,2630.65377768,1038.88603977,baseline
RalliV1_disable56,362,3668.97874052,362,2632.04423916,1036.93450136,baseline
E0V1E2,226,3624.55647016,226,5548.42805373,-1923.87158356,baseline
SMAOPv1_TTF,118,3572.16905027,118,3371.60806263,200.560987635,baseline
true_lambo,693,3568.35934102,693,4127.19364025,-558.834299225,baseline
ElliotV5HO,468,3559.14339802,468,1689.65472671,1869.48867131,baseline
SMAOffsetProtectOpt,103,3477.01104081,103,2255.12628347,1221.88475734,baseline
ElliotV8_original_ichiv3,824,3404.95493664,824,605.259773811,2799.69516283,baseline
BollingerBounce,958,3402.08619406,958,2851.60944037,550.476753696,baseline
CryptoFrogHO,14681,3398.46058453,14681,20086.7586475,-16688.298063,baseline
E0V1EN,315,3368.01752297,315,1373.94555971,1994.07196325,baseline
NostalgiaForInfinityV4HO,243,3318.48213342,243,3664.87666366,-346.394530239,baseline
MACDStrategyETC,6290,3229.21326638,6290,5134.5524037,-1905.33913732,baseline
FenixTopProfit,1591,3213.91961407,1591,658.071635734,2555.84797834,baseline
CombinedBinHAndClucV8Hyper,677,3192.05231481,677,3704.33341806,-512.281103247,baseline
bestV2,208,3187.27698794,208,1800.91407771,1386.36291022,baseline
DoubleEMACrossoverWithTrend,2613,3179.60880721,2613,6446.72124048,-3267.11243327,baseline
PowerTower,2416,3140.05454045,2416,3410.98277662,-270.928236171,baseline
Elliotv8,353,3089.65069232,353,887.113917528,2202.53677479,baseline
ElliotV8HO,210,3042.28145395,210,1077.60134518,1964.68010878,baseline
SMAOffsetProtectOptV1,111,2997.9811115,111,3183.15749818,-185.176386685,baseline
FBB_DWT,690,2916.09331996,690,6471.77806455,-3555.68474459,baseline
CombinedBinHAndClucV6,945,2899.95548341,945,4147.53860755,-1247.58312414,baseline
Dyna_opti,380,2894.37604489,380,4953.52787638,-2059.15183148,baseline
PRICEFOLLOWINGX,651,2875.21481688,651,-179.753692235,3054.96850911,baseline
Hammer,275,2873.30394733,275,2267.09695044,606.20699689,baseline
BigTrader,91,2872.82971868,91,1546.39749111,1326.43222757,baseline
BBRSITV4,222,2818.46897165,222,2239.9880223,578.480949357,baseline
CombinedBinHClucAndSMAOffset,199,2799.08842251,199,3215.52362784,-416.435205324,baseline
CombinedBinHClucAndSMAOffset_2,199,2799.08842251,199,3215.52362784,-416.435205324,baseline
CombinedBinHAndClucV8,502,2797.02620057,502,3238.90406373,-441.877863155,baseline
VWAP,594,2785.04483475,594,-1121.49882518,3906.54365993,baseline
NFI5MOHO,226,2769.54807834,226,1140.69644408,1628.85163426,baseline
CombinedBinHAndClucV6H,963,2742.49619571,963,3098.16581636,-355.669620654,baseline
MacheteV8bRallimod2,177,2714.2096382,177,2221.80432903,492.405309169,baseline
Lateralus,2124,2682.20520612,2124,911.962668705,1770.24253742,baseline
CombinedBinHAndClucV7,502,2651.16037427,502,2145.82596956,505.33440471,baseline
TrailingBuyStratCluc5m,3397,2643.85805724,3397,-2282.34758052,4926.20563776,baseline
MADisplaceV3,419,2643.69521062,419,2598.58287525,45.1123353687,baseline
CombinedBinHAndClucV8XHO,468,2597.85642265,468,3148.15050656,-550.294083907,baseline
NASOSv5SL,369,2497.05503557,369,-656.265703381,3153.32073895,baseline
BinHV45HO,427,2479.54480389,427,-382.431393171,2861.97619706,baseline
Quickie,4521,2446.06186674,4521,-777.216596537,3223.27846327,baseline
SMAOffset_Hippocritical_dca_old,127,2403.15602056,127,-348.666829658,2751.82285022,baseline
SMAOffset_Hippocritical_dca,127,2403.15602056,127,-348.666829658,2751.82285022,baseline
SMAOffset_Hippocritical_dca_protections,127,2403.15602056,127,-348.666829658,2751.82285022,baseline
BbandRsiRolling,10084,2336.11791745,10084,3288.02131876,-951.903401314,baseline
Freqtrade_backtest_validation_freqtrade1,5378,2322.63830392,5378,10272.7760956,-7950.13779165,baseline
Obelisk_TradePro_Ichi_v2,2087,2174.30089736,2087,-5647.02247312,7821.32337048,baseline
SMAOffsetProtectOptV0,146,2164.60843066,146,2709.79966367,-545.191233013,baseline
CombinedBinHAndClucV2,440,2144.28700099,440,2945.16088249,-800.873881498,baseline
MultiOffsetLamboV0,104,2117.91310336,104,2134.25739908,-16.3442957245,baseline
SMAIP3,200,2101.50008237,200,1019.67916656,1081.82091582,baseline
NotAnotherSMAOffsetStrategyModHO_LamineDz_20210901,648,2045.8063977,648,1546.53684416,499.269553541,baseline
ElliotV7,308,2019.31562596,308,1069.19549299,950.120132966,baseline
NotAnotherSMAOffsetStrategyModHO,650,1998.89417597,650,1163.2048983,835.689277665,baseline
MultiMA_TSL,97,1994.79059542,97,2027.08296433,-32.2923689078,baseline
multi_tf,1829,1991.3769132,1829,8192.64625815,-6201.26934495,baseline
KC_BB,397,1965.31199035,397,1983.77073309,-18.4587427345,baseline
Inverse,1638,1935.58117864,1638,6384.84403863,-4449.26285999,baseline
Minmax,1948,1899.21464696,1948,34258.5746135,-32359.3599665,baseline
TemaMaster,3577,1885.14855468,3577,5509.84892122,-3624.70036654,baseline
adxbbrsi2,337,1856.87407917,337,291.364627583,1565.50945159,baseline
NotAnotherSMAOffsetStrategyX1,338,1819.78340633,338,1211.91164968,607.871756656,baseline
InverseV2,648,1809.07566998,648,3662.72237021,-1853.64670023,baseline
TwoCandleTheory,887,1757.13689686,887,5031.39548525,-3274.25858839,baseline
ElliotV8_original_ichiv2OH,303,1709.892192,303,72.8712675293,1637.02092447,baseline
SMAOG,294,1681.95179526,294,1159.51278868,522.439006582,baseline
EMABounce,32,1626.61946793,32,1285.98441395,340.635053984,baseline
SMAIP3v2,262,1625.70518537,262,842.663851122,783.041334252,baseline
ElliotV531,513,1604.91869871,513,1295.21179149,309.706907226,baseline
NostalgiaForInfinityNextGen,104,1509.64490103,104,1506.70257905,2.9423219815,baseline
EMA50,7623,1495.57252606,7623,4227.53667413,-2731.96414806,baseline
Hacklemore2,802,1463.11572662,802,-2780.3413738,4243.45710042,baseline
CombinedBinHAndClucV8XH,342,1427.00330759,342,2132.77125585,-705.767948265,baseline
SARCross,209,1403.45124997,209,1200.40851962,203.042730351,baseline
NormalizerStrategyHO2,1391,1403.1832331,1391,5950.91176948,-4547.72853639,baseline
CryptoFrogNFIHO1A,9195,1391.12495759,9195,9427.50991663,-8036.38495904,baseline
SMAOffsetProtectOptV1Mod,113,1370.58278304,113,19.8066894875,1350.77609355,baseline
SMAOffsetProtectOptV1Mod2_antipump,115,1365.60695285,115,-4.65670584168,1370.26365869,baseline
SMAOffsetProtectOptV1Mod2,115,1365.60695285,115,-4.65670584168,1370.26365869,baseline
SMAOffsetProtectOptV1_kkeue_20210619,115,1365.60695285,115,-4.65670584168,1370.26365869,baseline
MAC,27,1363.67851418,27,3126.64864925,-1762.97013506,baseline
BBRSITV,223,1359.24743779,223,1506.4929974,-147.245559606,baseline
GodCard,183,1291.78387067,183,926.602863422,365.181007248,baseline
FrostAuraM315mStrategy,4987,1276.35538037,4987,-175.869292103,1452.22467247,baseline
E0V1E_strs,89,1256.8958816,89,1516.92276076,-260.026879152,baseline
TrendAtrStrategy,1772,1199.51777859,1772,89.2280267232,1110.28975187,baseline
BinHModWhiteHOV0,56,1198.92825437,56,1113.82225597,85.1059984024,baseline
NotAnotherSMAOffsetStrategy_uzi,384,1189.34702002,384,1689.83421331,-500.487193291,baseline
FrostAuraM31hStrategy,1306,1173.89589389,1306,-387.57173929,1561.46763318,baseline
RSIDirectionalWithTrendSlow,345,1135.6061124,345,4561.11795605,-3425.51184366,baseline
StarRise,111,1118.78742744,111,553.10515866,565.682268783,baseline
NFI46Z,303,1084.42435146,303,150.286706207,934.137645248,baseline
Squeeze001,252,1061.3548883,252,938.430532513,122.924355789,baseline
SimpleBollinger,99,1013.39985704,99,966.077328037,47.3225290075,baseline
NFI46,38,1012.92066324,38,1174.44839469,-161.527731453,baseline
ReinforcedSmoothScalp,348,963.241303875,348,518.751321161,444.489982714,baseline
FastSupertrendOpt,3533,942.349187907,3533,-21556.3709422,22498.7201301,baseline
MACDCrossoverWithTrend,950,909.555597223,950,2183.35729231,-1273.80169509,baseline
BB_RPB_TSL_jilv220_github_20211008,188,813.333159098,188,682.098574287,131.234584811,baseline
Schism3,4512,786.035390385,4512,-1554.0085982,2340.04398858,baseline
BBRSITV5,326,761.041733004,326,-182.887805267,943.929538271,baseline
Hacklemost,131,732.030265965,131,319.141791906,412.88847406,baseline
NASOSv5,457,719.613293886,457,462.431785237,257.181508648,baseline
CombinedBinHAndCluc2021Bull,2262,712.264729026,2262,-3496.38352322,4208.64825225,baseline
