strategy_id,btc_regime,trades,long_trades,short_trades,profit_abs,mean_profit_ratio,wins,gross_profit,gross_loss,mean_duration_minutes,active_dates,profit_factor,win_rate
KAMACCIRSI,BULL,3498,3498,0,-109.8894217,-0.000941000165219,2482,2294.85748064,2404.74690234,2730.12864494,529,0.954303123712,0.709548313322
KAMACCIRSI,SIDEWAYS,1522,1522,0,478.2152014,0.00190824673229,1029,806.85502814,328.63982674,1638.46911958,333,2.45513465651,0.676084099869
KAMACCIRSI,TRANSITION,1516,1516,0,-631.85975534,-0.00340351132743,1015,938.07026684,1569.93002218,3159.03693931,310,0.597523617987,0.669525065963
MACD_TRIPLE_MA,BEAR,2851,2851,0,-350.25402656,-0.00311979812091,1501,385.39086036,735.64488692,184.135391091,367,0.523881654331,0.526481936163
MACD_TRIPLE_MA,BULL,3605,3605,0,-305.4053499,-0.0021852927951,1925,524.8849651,830.290315,196.088765603,481,0.63217040548,0.533980582524
MACD_TRIPLE_MA,SIDEWAYS,2184,2184,0,-88.12703483,-0.00157051322838,1146,245.48529184,333.61232667,224.407051282,296,0.735839992156,0.524725274725
MACD_TRIPLE_MA,TRANSITION,2122,2122,0,-222.20632046,-0.00314562309149,1091,255.76307897,477.96939943,218.383600377,293,0.535103459081,0.514137606032
MADisplaceV3,BEAR,105,105,0,51.48028936,0.00349992947525,68,196.08882139,144.60853203,57.7142857143,42,1.35599759321,0.647619047619
MADisplaceV3,BULL,323,323,0,216.96795352,0.00466578621575,219,645.46179042,428.4938369,42.4922600619,91,1.50635023152,0.678018575851
MADisplaceV3,SIDEWAYS,49,49,0,64.1745779,0.00831898381437,37,105.87443385,41.69985595,52.7551020408,25,2.53896401889,0.755102040816
MADisplaceV3,TRANSITION,103,103,0,88.01846698,0.00577941905036,74,233.63757527,145.61910829,59.0291262136,40,1.60444311199,0.718446601942
MacdStrategy,BEAR,170,170,0,-2527.42478475,-0.0100962428771,42,3187.6800056,5715.10479035,25310.1176471,111,0.557764052023,0.247058823529
MacdStrategy,BULL,39,39,0,1539.94185089,0.126792672518,20,2296.14600181,756.20415092,25550.7692308,25,3.03641020618,0.512820512821
MacdStrategy,SIDEWAYS,85,85,0,2373.72442773,0.0783808207705,44,3967.29904846,1593.57462073,26834.8235294,60,2.48955963332,0.517647058824
MacdStrategy,TRANSITION,83,83,0,1486.48600103,0.0663835207612,33,3562.94120049,2076.45519946,23577.8313253,60,1.71587675064,0.397590361446
MarketChyperHyperStrategy,BEAR,895,895,0,57.86484938,0.000386993883261,550,1735.380745,1677.51589562,2046.30167598,305,1.03449436726,0.614525139665
MarketChyperHyperStrategy,BULL,851,851,0,-251.89038947,-0.00273392469915,503,1283.51131159,1535.40170106,2298.613396,304,0.835944958706,0.5910693302
MarketChyperHyperStrategy,SIDEWAYS,692,692,0,215.35270275,0.00241350717605,428,929.21146742,713.85876467,2279.9132948,263,1.30167410335,0.618497109827
MarketChyperHyperStrategy,TRANSITION,755,755,0,-744.28545797,-0.00989689900305,420,923.96840814,1668.25386611,2438.78145695,271,0.553853599209,0.556291390728
NWEv6_new,BEAR,1882,1882,0,-231.62072692,-0.0034606874921,1256,662.37234887,893.99307579,458.698724761,376,0.740914406171,0.667375132837
NWEv6_new,BULL,2129,2129,0,-226.05477199,-0.00122628700127,1536,864.35792618,1090.41269817,560.51949272,436,0.792688793546,0.72146547675
NWEv6_new,SIDEWAYS,1270,1270,0,-85.75609497,-0.00369886107958,838,385.00592224,470.76201721,673.452755906,300,0.817835569067,0.659842519685
NWEv6_new,TRANSITION,1492,1492,0,-413.85982321,-0.00718962350008,943,465.67735564,879.53717885,635.521447721,311,0.529457272345,0.632037533512
NostalgiaForInfinityV1,BEAR,428,428,0,-234.02599126,-0.00171816797277,218,1142.62649386,1376.65248512,436.91588785,189,0.83000358203,0.509345794393
NostalgiaForInfinityV1,BULL,1255,1255,0,1385.62770355,0.00525632584645,767,3928.67117286,2543.04346931,363.22310757,380,1.54486984602,0.611155378486
NostalgiaForInfinityV1,SIDEWAYS,735,735,0,979.41840046,0.0047243359162,447,2010.23743607,1030.81903561,372.496598639,247,1.9501361215,0.608163265306
NostalgiaForInfinityV1,TRANSITION,491,491,0,-371.29007463,-0.00178077628812,263,1186.59591553,1557.88599016,399.114052953,182,0.761670573473,0.535641547862
NostalgiaForInfinityV2,BEAR,100,100,0,-68.30341619,1.70197474467e-05,39,415.10199608,483.40541227,621.05,68,0.858703658552,0.39
NostalgiaForInfinityV2,BULL,359,359,0,1646.59278147,0.0204288269191,194,2861.94546581,1215.35268434,583.147632312,158,2.35482712359,0.540389972145
NostalgiaForInfinityV2,SIDEWAYS,81,81,0,564.8857113,0.0214955798511,51,733.38724749,168.50153619,780.864197531,53,4.35240689238,0.62962962963
NostalgiaForInfinityV2,TRANSITION,137,137,0,529.04954277,0.0130029621238,70,1140.89505231,611.84550954,547.299270073,75,1.86467831261,0.510948905109
PowerTower,BEAR,872,872,0,-539.14114971,-0.00293938897351,593,1310.56706886,1849.70821857,2745.19495413,191,0.708526380379,0.68004587156
PowerTower,BULL,1370,1370,0,456.61816381,0.00253002726922,979,2780.97747107,2324.35930726,1895.04014599,247,1.19644904399,0.714598540146
PowerTower,SIDEWAYS,765,765,0,338.32542091,0.00304506291836,520,932.55146186,594.22604095,1562.22222222,155,1.56935475323,0.679738562092
PowerTower,TRANSITION,762,762,0,-104.4727803,-0.000747510698901,535,1054.66351267,1159.13629297,2984.2519685,150,0.909870149927,0.702099737533
RegimeFilterStrategy,BEAR,779,263,516,-645.37056943,-0.00440351264811,216,4075.2127563,4720.58332573,3934.42875481,303,0.863285843105,0.277278562259
RegimeFilterStrategy,BULL,839,552,287,-185.71679742,-0.000235265861613,255,4604.54373641,4790.26053383,4828.17640048,372,0.961230334737,0.303933253874
RegimeFilterStrategy,SIDEWAYS,584,320,264,360.2171817,0.00493191967295,196,3388.48910151,3028.27191981,5930.54794521,258,1.11895139909,0.335616438356
RegimeFilterStrategy,TRANSITION,593,235,358,446.63634714,0.00571641953015,199,3614.17628016,3167.53993302,5452.51264755,253,1.14100417251,0.335581787521
RobotradingBody,BEAR,471,471,0,-167.81826164,-0.00285331441644,302,722.43250213,890.25076377,432.611464968,148,0.81149326856,0.64118895966
RobotradingBody,BULL,808,808,0,197.10074241,0.00328747819635,537,1092.33244434,895.23170193,389.405940594,252,1.22016729522,0.664603960396
RobotradingBody,SIDEWAYS,511,511,0,7.3938684,1.41793529136e-05,311,518.08070443,510.68683603,415.655577299,170,1.01447828273,0.608610567515
RobotradingBody,TRANSITION,672,672,0,-223.4112084,-0.00325749370306,361,685.13221158,908.54341998,466.428571429,200,0.754099580178,0.537202380952
SMAIP3,BEAR,61,61,0,1.12093858,0.00111836253008,46,116.90700738,115.7860688,382.868852459,31,1.00968111787,0.754098360656
SMAIP3,BULL,166,166,0,333.60839942,0.0135903700991,131,509.80161545,176.19321603,396.506024096,63,2.89342363422,0.789156626506
SMAIP3,SIDEWAYS,32,32,0,137.85780959,0.0267340751155,27,137.86616091,0.00835132,260.9375,17,16508.3077777,0.84375
SMAIP3,TRANSITION,49,49,0,-39.12143738,-0.00409664503394,36,142.5404294,181.66186678,1974.79591837,29,0.784646948347,0.734693877551
SMAOG,BEAR,92,92,0,54.45434477,0.00379916679929,67,116.07392195,61.61957718,36.1413043478,39,1.88371824771,0.728260869565
SMAOG,BULL,244,244,0,252.92718683,0.00723393659168,193,381.12303982,128.19585299,32.2540983607,72,2.97297479545,0.790983606557
SMAOG,SIDEWAYS,44,44,0,47.68867195,0.00771692151396,37,63.67788688,15.98921493,30.6818181818,19,3.98255243668,0.840909090909
