# path	strategy_id	base_strategy_id
webclinic017_strategies-freqtrade-/NNTC/NNTC_highlow_Ensemble.py	NNTC_highlow_Ensemble	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_highlow_LSTM.py	NNTC_highlow_LSTM	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_jump_Ensemble.py	NNTC_jump_Ensemble	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_jump_LSTM.py	NNTC_jump_LSTM	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_jump_Transformer.py	NNTC_jump_Transformer	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_macd2_Attention.py	NNTC_macd2_Attention	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_macd3_LSTM.py	NNTC_macd3_LSTM	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_macd_Attention.py	NNTC_macd_Attention	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_macd_Ensemble.py	NNTC_macd_Ensemble	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_macd_GRU.py	NNTC_macd_GRU	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_macd_LSTM.py	NNTC_macd_LSTM	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_macd_Multihead.py	NNTC_macd_Multihead	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_macd_TCN.py	NNTC_macd_TCN	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_macd_Transformer.py	NNTC_macd_Transformer	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_mfi_LSTM.py	NNTC_mfi_LSTM	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_minmax_LSTM.py	NNTC_minmax_LSTM	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_nseq_Attention.py	NNTC_nseq_Attention	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_nseq_Ensemble.py	NNTC_nseq_Ensemble	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_nseq_GRU.py	NNTC_nseq_GRU	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_nseq_LSTM.py	NNTC_nseq_LSTM	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_nseq_Transformer.py	NNTC_nseq_Transformer	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_nseq_Wavenet.py	NNTC_nseq_Wavenet	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_over_LSTM.py	NNTC_over_LSTM	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_profit_AdditiveAttention.py	NNTC_profit_AdditiveAttention	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_profit_Attention.py	NNTC_profit_Attention	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_profit_CNN.py	NNTC_profit_CNN	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_profit_Ensemble.py	NNTC_profit_Ensemble	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_profit_GRU.py	NNTC_profit_GRU	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_profit_LSTM.py	NNTC_profit_LSTM	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_profit_LSTM2.py	NNTC_profit_LSTM2	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_profit_LSTM3.py	NNTC_profit_LSTM3	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_profit_MLP.py	NNTC_profit_MLP	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_profit_Multihead.py	NNTC_profit_Multihead	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_profit_TCN.py	NNTC_profit_TCN	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_profit_Transformer.py	NNTC_profit_Transformer	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_profit_Wavenet.py	NNTC_profit_Wavenet	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_profit_Wavenet2.py	NNTC_profit_Wavenet2	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_profit_Wavenet3.py	NNTC_profit_Wavenet3	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_pv_Ensemble.py	NNTC_pv_Ensemble	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_pv_LSTM.py	NNTC_pv_LSTM	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_pv_MLP.py	NNTC_pv_MLP	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_pv_Multihead.py	NNTC_pv_Multihead	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_pv_Wavenet.py	NNTC_pv_Wavenet	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_slope_LSTM.py	NNTC_slope_LSTM	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_smooth_LSTM.py	NNTC_smooth_LSTM	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_stochastic_LSTM.py	NNTC_stochastic_LSTM	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_swing_LSTM.py	NNTC_swing_LSTM	NNTC
webclinic017_strategies-freqtrade-/binanceus/NNPredict_NBeats.py	NNPredict_NBeats	NNPredict
webclinic017_strategies-freqtrade-/binanceus/NNPredict_NHiTS.py	NNPredict_NHiTS	NNPredict
webclinic017_strategies-freqtrade-/binanceus/NNPredict_NLinear.py	NNPredict_NLinear	NNPredict
webclinic017_strategies-freqtrade-/binanceus/NNPredict_Ray.py	NNPredict_Ray	NNPredict
webclinic017_strategies-freqtrade-/binanceus/NNPredict_TFT.py	NNPredict_TFT	NNPredict
webclinic017_strategies-freqtrade-/binanceus/NNPredict_Transformer.py	NNPredict_Transformer	NNPredict
webclinic017_strategies-freqtrade-/binanceus/NNPredict_dTransformer.py	NNPredict_dTransformer	NNPredict
webclinic017_strategies-freqtrade-/binanceus/NNPredict_kTFT.py	NNPredict_kTFT	NNPredict
webclinic017_strategies-freqtrade-/binanceus/PCA_dwt.py	PCA_dwt	PCA
