strategy_id,run_profile,timeframe,coverage_status,coverage_evidence,window_start,window_end_exclusive,required_pairs,complete_pairs,availability_limited_pairs,missing_files,edge_failures,auxiliary_failures,pair_specific_gaps,synchronized_gaps,duplicate_candles,source_fingerprint
NowoIchimoku1hV2,spot_long,1h,PASS,policy=1;mode=spot;timeframe=1h;complete=8/8;availability_limited=1;sync_gaps=13;pair_gaps=0;aux_failures=0;duplicates=0,2020-03-01T00:00:00Z,2026-08-21T00:00:00Z,8,8,XMR/USDT,,,,0,13,0,sha256_ca7ff1931fd6c56a6b8207860a55741af9c20bb55de36000b62730174c4f2937
NowoIchimoku5mV2,spot_long,5m,PASS,policy=1;mode=spot;timeframe=5m;complete=8/8;availability_limited=1;sync_gaps=13;pair_gaps=0;aux_failures=0;duplicates=0,2020-03-01T00:00:00Z,2026-08-21T00:00:00Z,8,8,XMR/USDT,,,,0,13,0,sha256_e8d28cd87065e2c4fddc76d0370ed6ddf67047ffb0a8bbd02f4139488617d93b
ObeliskIM_v1_1,spot_long,5m,PASS,policy=1;mode=spot;timeframe=5m;complete=8/8;availability_limited=1;sync_gaps=13;pair_gaps=0;aux_failures=0;duplicates=0,2020-03-01T00:00:00Z,2026-08-21T00:00:00Z,8,8,XMR/USDT,,,,0,13,0,sha256_e8d28cd87065e2c4fddc76d0370ed6ddf67047ffb0a8bbd02f4139488617d93b
ObeliskRSI_v6_1,spot_long,5m,PASS,policy=1;mode=spot;timeframe=5m;complete=8/8;availability_limited=1;sync_gaps=13;pair_gaps=0;aux_failures=0;duplicates=0,2020-03-01T00:00:00Z,2026-08-21T00:00:00Z,8,8,XMR/USDT,,,,0,13,0,sha256_e8d28cd87065e2c4fddc76d0370ed6ddf67047ffb0a8bbd02f4139488617d93b
Obelisk_3EMA_StochRSI_ATR,spot_long,5m,PASS,policy=1;mode=spot;timeframe=5m;complete=8/8;availability_limited=1;sync_gaps=13;pair_gaps=0;aux_failures=0;duplicates=0,2020-03-01T00:00:00Z,2026-08-21T00:00:00Z,8,8,XMR/USDT,,,,0,13,0,sha256_e8d28cd87065e2c4fddc76d0370ed6ddf67047ffb0a8bbd02f4139488617d93b
Obelisk_Ichimoku_Slow_v1_3,spot_long,1h,PASS,policy=1;mode=spot;timeframe=1h;complete=8/8;availability_limited=1;sync_gaps=13;pair_gaps=0;aux_failures=0;duplicates=0,2020-03-01T00:00:00Z,2026-08-21T00:00:00Z,8,8,XMR/USDT,,,,0,13,0,sha256_ca7ff1931fd6c56a6b8207860a55741af9c20bb55de36000b62730174c4f2937
Obelisk_TradePro_Ichi_v1_1,spot_long,1h,PASS,policy=1;mode=spot;timeframe=1h;complete=8/8;availability_limited=1;sync_gaps=13;pair_gaps=0;aux_failures=0;duplicates=0,2020-03-01T00:00:00Z,2026-08-21T00:00:00Z,8,8,XMR/USDT,,,,0,13,0,sha256_ca7ff1931fd6c56a6b8207860a55741af9c20bb55de36000b62730174c4f2937
Obelisk_TradePro_Ichi_v2_1,spot_long,1h,PASS,policy=1;mode=spot;timeframe=1h;complete=8/8;availability_limited=1;sync_gaps=13;pair_gaps=0;aux_failures=0;duplicates=0,2020-03-01T00:00:00Z,2026-08-21T00:00:00Z,8,8,XMR/USDT,,,,0,13,0,sha256_ca7ff1931fd6c56a6b8207860a55741af9c20bb55de36000b62730174c4f2937
PRICEFOLLOWING,spot_long,5m,PASS,policy=1;mode=spot;timeframe=5m;complete=8/8;availability_limited=1;sync_gaps=13;pair_gaps=0;aux_failures=0;duplicates=0,2020-03-01T00:00:00Z,2026-08-21T00:00:00Z,8,8,XMR/USDT,,,,0,13,0,sha256_e8d28cd87065e2c4fddc76d0370ed6ddf67047ffb0a8bbd02f4139488617d93b
PRICEFOLLOWING2,spot_long,15m,PASS,policy=1;mode=spot;timeframe=15m;complete=8/8;availability_limited=1;sync_gaps=13;pair_gaps=0;aux_failures=0;duplicates=0,2020-03-01T00:00:00Z,2026-08-21T00:00:00Z,8,8,XMR/USDT,,,,0,13,0,sha256_59786b266b1661ca08381b938b2ca9cb3b6f40aac0325e00be1faef371623b6e
PRICEFOLLOWINGX,spot_long,15m,PASS,policy=1;mode=spot;timeframe=15m;complete=8/8;availability_limited=1;sync_gaps=13;pair_gaps=0;aux_failures=0;duplicates=0,2020-03-01T00:00:00Z,2026-08-21T00:00:00Z,8,8,XMR/USDT,,,,0,13,0,sha256_59786b266b1661ca08381b938b2ca9cb3b6f40aac0325e00be1faef371623b6e
Persia,spot_long,5m,PASS,policy=1;mode=spot;timeframe=5m;complete=8/8;availability_limited=1;sync_gaps=13;pair_gaps=0;aux_failures=0;duplicates=0,2020-03-01T00:00:00Z,2026-08-21T00:00:00Z,8,8,XMR/USDT,,,,0,13,0,sha256_e8d28cd87065e2c4fddc76d0370ed6ddf67047ffb0a8bbd02f4139488617d93b
Pmax,spot_long,5m,PASS,policy=1;mode=spot;timeframe=5m;complete=8/8;availability_limited=1;sync_gaps=13;pair_gaps=0;aux_failures=0;duplicates=0,2020-03-01T00:00:00Z,2026-08-21T00:00:00Z,8,8,XMR/USDT,,,,0,13,0,sha256_e8d28cd87065e2c4fddc76d0370ed6ddf67047ffb0a8bbd02f4139488617d93b
PrawnstarOBV,spot_long,1h,PASS,policy=1;mode=spot;timeframe=1h;complete=8/8;availability_limited=1;sync_gaps=13;pair_gaps=0;aux_failures=0;duplicates=0,2020-03-01T00:00:00Z,2026-08-21T00:00:00Z,8,8,XMR/USDT,,,,0,13,0,sha256_ca7ff1931fd6c56a6b8207860a55741af9c20bb55de36000b62730174c4f2937
Prediction_Strategy,spot_long,1h,PASS,policy=1;mode=spot;timeframe=1h;complete=8/8;availability_limited=1;sync_gaps=13;pair_gaps=0;aux_failures=0;duplicates=0,2020-03-01T00:00:00Z,2026-08-21T00:00:00Z,8,8,XMR/USDT,,,,0,13,0,sha256_ca7ff1931fd6c56a6b8207860a55741af9c20bb55de36000b62730174c4f2937
QuickBuyStrategy,spot_long,1h,PASS,policy=1;mode=spot;timeframe=1h;complete=8/8;availability_limited=1;sync_gaps=13;pair_gaps=0;aux_failures=0;duplicates=0,2020-03-01T00:00:00Z,2026-08-21T00:00:00Z,8,8,XMR/USDT,,,,0,13,0,sha256_ca7ff1931fd6c56a6b8207860a55741af9c20bb55de36000b62730174c4f2937
Quickie,spot_long,5m,PASS,policy=1;mode=spot;timeframe=5m;complete=8/8;availability_limited=1;sync_gaps=13;pair_gaps=0;aux_failures=0;duplicates=0,2020-03-01T00:00:00Z,2026-08-21T00:00:00Z,8,8,XMR/USDT,,,,0,13,0,sha256_e8d28cd87065e2c4fddc76d0370ed6ddf67047ffb0a8bbd02f4139488617d93b
